12:45:56 Two Pair [Q♥, Q♦, 4♠, 4♥, 2♠] scoring=[Q♥, Q♦, 4♠, 4♥](4) | base: 20/2 | pre-joker: 38/18.0 | jokers: [none] | final: 38/18.0 | enhs=[] seals=[] eds=[] | blind=The Window ante=1 hands_left=1 | est=684 actual=76 MISMATCH(diff=-608)
13:51:53 High Card [K♥, 6♣, 5♥, 4♥, 3♥] scoring=[K♥](1) | base: 35/4 | pre-joker: 45/29.0 | jokers: [Smiley Face(x1.34)] | final: 45/39.0 | enhs=[] seals=[] eds=[] | blind=The Club ante=2 hands_left=4 | est=1755 actual=855 MISMATCH(diff=-900)
13:51:54 Two Pair [Q♥, Q♣, 8♠, 6♠, 6♥] scoring=[Q♥, Q♣, 6♠, 6♥](4) | base: 20/2 | pre-joker: 42/27.0 | jokers: [Clever Joker(+80c), Smiley Face(x1.37)] | final: 122/37.0 | enhs=[] seals=[] eds=[] | blind=The Club ante=2 hands_left=3 | est=4514 actual=2074 MISMATCH(diff=-2440)
16:40:28 Two Pair [9♥, 9♦, 7♦, 4♠, 4♥] scoring=[9♥, 9♦, 4♠, 4♥](4) | base: 60/4 | pre-joker: 86/34.0 | jokers: [Banner(+180c), Green Joker(x1.76)] | final: 266/60.0 | enhs=[] seals=[] eds=[] | blind=The Plant ante=6 hands_left=2 | est=15960 actual=10108 MISMATCH(diff=-5852)
23:49:46 Full House [Q♠, Q♣, Q♦, 3♣, 3♦] scoring=[Q♠, Q♣, Q♦, 3♣, 3♦](5) | base: 90/8 | pre-joker: 126/12.0 | jokers: [Green Joker(x2.00), Gros Michel(x1.62), Loyalty Card(x4.00), Acrobat(x3.00)] | final: 126/468.0 | enhs=[MULT] seals=[] eds=[] | blind=The Psychic ante=3 hands_left=1 | est=58968 actual=14742 MISMATCH(diff=-44226)
02:41:25 Straight [K♦, Q♠, J♥, 10♣, 9♠] scoring=[K♦, Q♠, J♥, 10♣, 9♠](5) | base: 30/4 | pre-joker: 69/24.0 | jokers: [none] | final: 69/24.0 | enhs=[] seals=[] eds=[] | blind=The Club ante=1 hands_left=4 | est=1656 actual=276 MISMATCH(diff=-1380)
02:41:26 Two Pair [Q♥, 7♠, 7♣, 6♥, 6♣] scoring=[Q♥, 7♠, 7♣, 6♥, 6♣](5) | base: 20/2 | pre-joker: 43/22.0 | jokers: [none] | final: 43/22.0 | enhs=[] seals=[] eds=[] | blind=The Club ante=1 hands_left=3 | est=946 actual=86 MISMATCH(diff=-860)
02:41:27 High Card [J♦, 8♠, 7♦, 5♦, 2♠] scoring=[J♦, 8♠, 7♦, 5♦, 2♠](5) | base: 5/1 | pre-joker: 37/23.0 | jokers: [none] | final: 37/23.0 | enhs=[] seals=[] eds=[] | blind=The Club ante=1 hands_left=2 | est=851 actual=37 MISMATCH(diff=-814)
02:41:28 Two Pair [10♦, 8♣, 8♦, 5♥, 5♣] scoring=[10♦, 8♣, 8♦, 5♥, 5♣](5) | base: 20/2 | pre-joker: 43/24.0 | jokers: [none] | final: 43/24.0 | enhs=[] seals=[] eds=[] | blind=The Club ante=1 hands_left=1 | est=1032 actual=86 MISMATCH(diff=-946)
06:49:31 Flush [A♥, K♥, 8♥, 7♥, 3♥] scoring=[A♥, K♥, 8♥, 7♥, 3♥](5) | base: 95/12 | pre-joker: 173/48.0 | jokers: [none] | final: 173/48.0 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=4 | est=8304 actual=3216 MISMATCH(diff=-5088)
06:49:33 Two Pair [K♣, K♦, 5♠, 5♠, 2♠] scoring=[K♣, K♦, 5♠, 5♠](4) | base: 80/5 | pre-joker: 140/20.0 | jokers: [none] | final: 140/20.0 | enhs=[STEEL] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=2 | est=2800 actual=1100 MISMATCH(diff=-1700)
